MEASURE,GROUP,SUBJECT,CATEGORY,TAX,DETAILS,2020,2021,2022,2023,2024,2025,2026,2027
Tax on Repurchases of Equity,Tax expenditure,Business - other,Non-structural,CIT,Corporate Income Tax,–,–,–,–,-685,-725,-765,-810
Tax status of certain federal Crown corporations,Tax expenditure,Business - other,Structural,CIT,Corporate income tax,X,X,X,X,X,X,X,X
Tax treatment of alimony and maintenance payments,Tax expenditure,Families and households,Non-structural,PIT,Personal income tax,100,105,105,105,105,110,115,115
"Tax treatment of Canada Pension Plan and Quebec Pension Plan contributions and benefits,Tax measure other than tax expenditure,Employment,Structural,PIT,Total – personal income tax,""11,845"",""13,860"",""15,725"",""17,615"",""19,235"",""20,260"",""20,710"",""21,530"""
"Tax treatment of Canada Pension Plan and Quebec Pension Plan contributions and benefits,Tax measure other than tax expenditure,Employment,Structural,PIT,Tax recognition for employee-paid contributions,""4,765"",""5,525"",""6,370"",""7,245"",""7,975"",""8,350"",""8,420"",""8,745"""
"Tax treatment of Canada Pension Plan and Quebec Pension Plan contributions and benefits,Tax measure other than tax expenditure,Employment,Structural,PIT,Non-taxation of employer-paid premiums,""7,080"",""8,335"",""9,355"",""10,370"",""11,260"",""11,910"",""12,290"",""12,785"""
"Tax treatment of Employment Insurance and Quebec Parental Insurance Plan premiums and benefits,Tax measure other than tax expenditure,Employment,Structural,PIT,Total – personal income tax,""4,180"",""4,620"",""5,075"",""5,580"",""6,010"",""6,070"",""6,110"",""6,340"""
"Tax treatment of Employment Insurance and Quebec Parental Insurance Plan premiums and benefits,Tax measure other than tax expenditure,Employment,Structural,PIT,Credit for employee-paid premiums,""1,345"",""1,445"",""1,595"",""1,765"",""1,905"",""1,885"",""1,855"",""1,920"""
"Tax treatment of Employment Insurance and Quebec Parental Insurance Plan premiums and benefits,Tax measure other than tax expenditure,Employment,Structural,PIT,Non-taxation of employer-paid premiums,""2,835"",""3,175"",""3,480"",""3,815"",""4,105"",""4,185"",""4,255"",""4,420"""
Tax treatment of farm savings accounts (AgriInvest and Agri-Québec),Tax expenditure,Business - farming and fishing,Non-structural,PIT/CIT,Total,4,10,5,10,4,n.a.,n.a.,n.a.
Tax treatment of farm savings accounts (AgriInvest and Agri-Québec),Tax expenditure,Business - farming and fishing,Non-structural,PIT/CIT,Total – AgriInvest program,1,10,5,10,4,n.a.,n.a.,n.a.
Tax treatment of farm savings accounts (AgriInvest and Agri-Québec),Tax expenditure,Business - farming and fishing,Non-structural,PIT/CIT,Total – Agri-Québec program,3,3,S,S,S,n.a.,n.a.,n.a.
Tax treatment of farm savings accounts (AgriInvest and Agri-Québec),Tax expenditure,Business - farming and fishing,Non-structural,PIT,Total – personal income tax,3,10,5,10,2,n.a.,n.a.,n.a.
Tax treatment of farm savings accounts (AgriInvest and Agri-Québec),Tax expenditure,Business - farming and fishing,Non-structural,PIT,AgriInvest program – Personal income tax,1,10,5,10,3,n.a.,n.a.,n.a.
Tax treatment of farm savings accounts (AgriInvest and Agri-Québec),Tax expenditure,Business - farming and fishing,Non-structural,PIT,Agri-Québec program – Personal income tax,2,2,S,S,S,n.a.,n.a.,n.a.
Tax treatment of farm savings accounts (AgriInvest and Agri-Québec),Tax expenditure,Business - farming and fishing,Non-structural,CIT,Total – corporate income tax,1,2,1,1,1,n.a.,n.a.,n.a.
Tax treatment of farm savings accounts (AgriInvest and Agri-Québec),Tax expenditure,Business - farming and fishing,Non-structural,CIT,AgriInvest program – Corporate income tax,S,1,1,1,1,n.a.,n.a.,n.a.
Tax treatment of farm savings accounts (AgriInvest and Agri-Québec),Tax expenditure,Business - farming and fishing,Non-structural,CIT,Agri-Québec program – Corporate income tax,1,1,S,S,S,n.a.,n.a.,n.a.
Tax treatment of investment income from life insurance policies,Tax expenditure,Savings and investment,Structural,PIT,Personal income tax,235,230,245,270,320,330,365,405
Tax-free amount for emergency services volunteers,Tax expenditure,Social,Non-structural,PIT,Personal income tax,3,3,3,3,3,3,3,3
"Tax-Free First Home Savings Account,Tax expenditure,Housing,Non-structural,PIT,Personal income tax, – , – , – ,545,""1,110"",""1,250"",""1,410"",""1,585"""
"Tax-Free Savings Account,Tax expenditure,Savings and investment,Non-structural,PIT,Personal income tax,""1,700"",""3,220"",""2,005"",""2,665"",""3,675"",""4,050"",""4,695"",""5,505"""
Teacher and Early Childhood Educator School Supply Tax Credit,Refundable tax credit classified as transfer payment,Education,N/A,PIT,Personal income tax,5,10,10,15,15,15,15,15
Textbook Tax Credit,Tax expenditure,Education,Structural,PIT,Personal income tax,30,20,5,S,S,S,S,S
"Top-Up Tax Credit,Tax expenditure,Social,Non-structural,PIT,Personal income tax, – , – , – , – , – ,""5"",""15"",""15"""
"Tourism and Hospitality Recovery Program,Refundable tax credit classified as transfer payment,Employment,N/A,PIT/CIT,Total,–,""1,050"",""1,640"",–,–,–,–,–"
"Transfer of income tax points to provinces,Tax measure other than tax expenditure,Intergovernmental tax arrangements,Structural,TRU,Personal income tax – trusts,""1,050"",""1,470"",845,""1,115"",""1,300"",""1,360"",""1,395"",""1,365"""
"Transfer of income tax points to provinces,Tax measure other than tax expenditure,Intergovernmental tax arrangements,Structural,PIT/TRU/CIT,Total,""30,860"",""35,875"",""37,005"",""39,105"",""42,645"",""43,440"",""44,975"",""47,115"""
"Transfer of income tax points to provinces,Tax measure other than tax expenditure,Intergovernmental tax arrangements,Structural,PIT/TRU,Total – personal income tax,""27,180"",""30,625"",""31,625"",""33,470"",""36,595"",""37,385"",""38,710"",""40,595"""
"Transfer of income tax points to provinces,Tax measure other than tax expenditure,Intergovernmental tax arrangements,Structural,PIT,Personal income tax – individuals,""26,130"",""29,155"",""30,780"",""32,355"",""35,295"",""36,025"",""37,315"",""39,235"""
"Transfer of income tax points to provinces,Tax measure other than tax expenditure,Intergovernmental tax arrangements,Structural,CIT,Corporate income tax,""3,680"",""5,250"",""5,380"",""5,640"",""6,045"",""6,050"",""6,265"",""6,520"""
Travellers’ exemption,Tax expenditure,International,Structural,GST,Goods and Services Tax,80,95,290,315,355,300,315,325
"Tuition Tax Credit,Tax expenditure,Education,Structural,PIT,Personal income tax,""2,100"",""2,065"",""2,030"",""2,360"",""2,360"",""2,385"",""2,410"",""2,435"""
Volunteer Firefighters Tax Credit,Tax expenditure,Social,Non-structural,PIT,Personal income tax,15,20,15,20,35,35,35,35
"Zero-rating of basic groceries,Tax expenditure,Social,Non-structural,GST,Goods and Services Tax,""5,375"",""5,480"",""5,870"",""6,350"",""6,620"",""6,895"",""7,140"",""7,410"""
Zero-rating of face masks and face shields,Tax expenditure,Health,Non-structural,GST,Goods and Services Tax,5,85,70,50,45,–,–,–
Zero-rating of feminine hygiene products,Tax expenditure,Families and households,Non-structural,GST,Goods and Services Tax,45,45,50,55,55,60,60,65
"Zero-rating of medical and assistive devices,Tax expenditure,Health,Non-structural,GST,Goods and Services Tax,620,730,795,850,905,950,975,""1,000"""
"Zero-rating of prescription drugs,Tax expenditure,Health,Non-structural,GST,Goods and Services Tax,945,""1,040"",""1,135"",""1,220"",""1,260"",""1,315"",""1,350"",""1,395"""
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
