MEASURE,GROUP,SUBJECT,CATEGORY,TAX,DETAILS,2020,2021,2022,2023,2024,2025,2026,2027
Canadian Journalism Labour Tax Credit,Refundable tax credit classified as transfer payment,Business - other,N/A,CIT,Corporate income tax,35,35,40,65,70,75,75,60
"Capital loss carry-overs,Tax measure other than tax expenditure,Savings and investment,Structural,TRU,Personal income tax – trusts,800,""2,010"",430,855,995,""1,020"",""1,060"",""1,110"""
Capital loss carry-overs,Tax measure other than tax expenditure,Savings and investment,Structural,PIT/TRU/CIT,Total,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Capital loss carry-overs,Tax measure other than tax expenditure,Savings and investment,Structural,PIT/TRU,Total – personal income tax,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Capital loss carry-overs,Tax measure other than tax expenditure,Savings and investment,Structural,PIT,Personal income tax – individuals – total,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Capital loss carry-overs,Tax measure other than tax expenditure,Savings and investment,Structural,PIT,Personal income tax – individuals – carried back,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Capital loss carry-overs,Tax measure other than tax expenditure,Savings and investment,Structural,PIT,Personal income tax – individuals – applied to current year,550,940,505,535,780,565,600,645
"Capital loss carry-overs,Tax measure other than tax expenditure,Savings and investment,Structural,CIT,Total – corporate income tax,""1,015"",855,985,800,""1,390"",965,""1,035"",""1,115"""
Capital loss carry-overs,Tax measure other than tax expenditure,Savings and investment,Structural,CIT,Corporate income tax – carried back,405,200,455,355,400,445,445,455
Capital loss carry-overs,Tax measure other than tax expenditure,Savings and investment,Structural,CIT,Corporate income tax – applied to current year,615,650,525,445,990,525,590,660
Carbon Capture, Utilization and Storage Investment Tax Credit,Refundable tax credit classified as transfer payment,Environment,N/A,CIT,Corporate Income Tax, – , – ,15,40,40,125,425,865
"Charitable Donation Tax Credit,Tax expenditure,""Donations, gifts, charities, and non-profit organizations"",Non-structural,TRU,Personal income tax – trusts,70,65,45,60,55,60,60,60"
"Charitable Donation Tax Credit,Tax expenditure,""Donations, gifts, charities, and non-profit organizations"",Non-structural,PIT/TRU,Total – personal income tax,""3,360"",""3,680"",""3,735"",""4,065"",""4,150"",""3,995"",""4,225"",""4,345"""
"Charitable Donation Tax Credit,Tax expenditure,""Donations, gifts, charities, and non-profit organizations"",Non-structural,PIT,Personal income tax – individuals – total,""3,290"",""3,615"",""3,690"",""4,010"",""4,090"",""3,940"",""4,165"",""4,285"""
"Charitable Donation Tax Credit,Tax expenditure,""Donations, gifts, charities, and non-profit organizations"",Non-structural,PIT,Publicly listed securities,350,450,350,575,585,300,335,390"
"Charitable Donation Tax Credit,Tax expenditure,""Donations, gifts, charities, and non-profit organizations"",Non-structural,PIT,Ecologically sensitive land,10,10,15,20,15,15,15,15"
"Charitable Donation Tax Credit,Tax expenditure,""Donations, gifts, charities, and non-profit organizations"",Non-structural,PIT,Cultural property,15,15,15,10,30,15,15,15"
"Charitable Donation Tax Credit,Tax expenditure,""Donations, gifts, charities, and non-profit organizations"",Non-structural,PIT,Other,""2,915"",""3,140"",""3,310"",""3,405"",""3,465"",""3,610"",""3,800"",""3,870"""
"Child Care Expense Deduction,Tax expenditure,Employment,Structural,PIT,Personal income tax,975,""1,210"",""1,280"",""1,275"",""1,320"",""1,300"",""1,310"",""1,335"""
"Clean Electricity Investment Tax Credit,Refundable tax credit classified as transfer payment,Environment,N/A,CIT,Corporate Income Tax, – , – , – , – ,215,955,""1,160"",""1,380"""
Clean Hydrogen Investment Tax Credit,Refundable tax credit classified as transfer payment,Environment,N/A,CIT,Corporate Income Tax, – , – , – , S , S , S ,425,675
"Clean Technology Investment Tax Credit,Refundable tax credit classified as transfer payment,Environment,N/A,CIT,Corporate Income Tax, – , – , – ,350,445,""1,050"",""1,090"",""1,130"""
Clean Technology Manufacturing Investment Tax Credit,Refundable tax credit classified as transfer payment,Environment,N/A,CIT,Corporate Income Tax, – , – , – , – ,200,300,395,540
Corporate Mineral Exploration and Development Tax Credit,Tax expenditure,Business - natural resources,Non-structural,CIT,Corporate income tax,45,15,40,-1,25,15,15,15
Credit for subscriptions to Canadian digital news media,Tax expenditure,Social,Non-structural,PIT,Personal income tax,10,15,15,20,20,n.a.,n.a.,n.a.
"Credit for the Basic Personal Amount,Tax measure other than tax expenditure,Other,Structural,PIT,Personal income tax,""44,575"",""46,200"",""47,720"",""51,370"",""55,455"",""55,360"",""54,640"",""56,240"""
Critical Mineral Exploration Tax Credit for Flow-Through Share Investors,Tax expenditure,Business - natural resources,Non-structural,PIT,Personal income tax,–,–,70,220,120,130,135,-30
Deductibility of certain costs incurred by musicians,Tax expenditure,Employment,Structural,PIT,Personal income tax,1,1,1,1,1,1,1,1
"Deductibility of charitable donations,Tax expenditure,""Donations, gifts, charities, and non-profit organizations"",Non-structural,CIT,Total – corporate income tax,790,""1,080"",""1,045"",885,""1,645"",""1,465"",""1,475"",""1,690"""
"Deductibility of charitable donations,Tax expenditure,""Donations, gifts, charities, and non-profit organizations"",Non-structural,CIT,Ecologically sensitive land,1,1,5,15,5,5,5,5"
"Deductibility of charitable donations,Tax expenditure,""Donations, gifts, charities, and non-profit organizations"",Non-structural,CIT,Cultural property,2,2,2,5,50,20,20,20"
"Deductibility of charitable donations,Tax expenditure,""Donations, gifts, charities, and non-profit organizations"",Non-structural,CIT,Other,785,""1,080"",""1,040"",865,""1,590"",""1,440"",""1,450"",""1,665"""
Deductibility of contributions to a qualifying environmental trust,Tax expenditure,Environment,Structural,PIT/CIT,Total,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Deductibility of contributions to a qualifying environmental trust,Tax expenditure,Environment,Structural,PIT,Personal income tax,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Deductibility of contributions to a qualifying environmental trust,Tax expenditure,Environment,Structural,CIT,Corporate income tax,50,40,50,50,50,50,50,50
Deductibility of earthquake reserves,Tax expenditure,Business - other,Structural,CIT,Corporate income tax,S,-1,S,S,-1,S,S,S
Deductibility of expenses by employed artists,Tax expenditure,Employment,Structural,PIT,Personal income tax,S,S,S,S,S,S,S,S
Deduction for clergy residence,Tax expenditure,Social,Non-structural,PIT,Personal income tax,95,100,100,105,110,115,115,115
Deduction for tradespeople's tool expenses,Tax expenditure,Employment,Structural,PIT,Personal income tax,2,2,2,4,4,4,4,4
Deduction for tuition assistance for adult basic education,Tax expenditure,Education,Structural,PIT,Personal income tax,3,3,5,10,5,5,5,5
Deduction of allowable business investment losses,Tax expenditure,Business - small businesses,Non-structural,TRU,Personal income tax – trusts,S,S,1,1,1,1,1,1
Deduction of allowable business investment losses,Tax expenditure,Business - small businesses,Non-structural,PIT/TRU/CIT,Total,55,55,40,45,50,50,55,55
Deduction of allowable business investment losses,Tax expenditure,Business - small businesses,Non-structural,PIT/TRU,Total – personal income tax,40,40,30,35,35,40,40,40
Deduction of allowable business investment losses,Tax expenditure,Business - small businesses,Non-structural,PIT,Personal income tax – individuals,40,40,30,35,35,40,40,40
Deduction of allowable business investment losses,Tax expenditure,Business - small businesses,Non-structural,CIT,Corporate income tax,15,15,5,10,15,15,15,15
Deduction of interest and carrying charges incurred to earn investment income,Tax measure other than tax expenditure,Savings and investment,Structural,PIT/CIT,Total,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
"Deduction of interest and carrying charges incurred to earn investment income,Tax measure other than tax expenditure,Savings and investment,Structural,PIT,Personal income tax,""1,900"",""2,280"",""2,465"",""2,835"",""3,100"",""3,170"",""3,255"",""3,370"""
Deduction of interest and carrying charges incurred to earn investment income,Tax measure other than tax expenditure,Savings and investment,Structural,CIT,Corporate income tax,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
"Deduction of other employment expenses,Tax expenditure,Employment,Structural,PIT,Personal income tax,""1,145"",""1,270"",""1,265"",""1,225"",""1,210"",""1,225"",""1,235"",""1,255"""
"Deduction of union and professional dues,Tax expenditure,Employment,Structural,PIT,Personal income tax,""1,075"",""1,160"",""1,210"",""1,275"",""1,325"",""1,365"",""1,415"",""1,480"""
Deferral of income from destruction of livestock,Tax expenditure,Business - farming and fishing,Structural,PIT/CIT,Total,S,S,5,5,-5,n.a.,n.a.,n.a.
Deferral of income from destruction of livestock,Tax expenditure,Business - farming and fishing,Structural,PIT,Personal income tax,S,S,3,3,-2,n.a.,n.a.,n.a.
Deferral of income from destruction of livestock,Tax expenditure,Business - farming and fishing,Structural,CIT,Corporate income tax,S,S,4,4,-4,n.a.,n.a.,n.a.
Deferral of income from grain sold through cash purchase tickets,Tax expenditure,Business - farming and fishing,Non-structural,PIT/CIT,Total,40,5,140,60,-15,n.a.,n.a.,n.a.
Deferral of income from grain sold through cash purchase tickets,Tax expenditure,Business - farming and fishing,Non-structural,PIT,Personal income tax,15,3,60,25,-5,n.a.,n.a.,n.a.
Deferral of income from grain sold through cash purchase tickets,Tax expenditure,Business - farming and fishing,Non-structural,CIT,Corporate income tax,25,4,80,35,-10,n.a.,n.a.,n.a.
Deferral through five-year capital gain reserve,Tax expenditure,Business - other,Structural,TRU,Personal income tax – trusts,S,3,20,-2,S,S,S,S
Deferral through five-year capital gain reserve,Tax expenditure,Business - other,Structural,PIT/TRU/CIT,Total,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Deferral through five-year capital gain reserve,Tax expenditure,Business - other,Structural,PIT/TRU,Total – personal income tax,20,40,50,25,25,25,25,25
Deferral through five-year capital gain reserve,Tax expenditure,Business - other,Structural,PIT,Personal income tax – individuals,20,35,30,30,25,25,25,25
Deferral through five-year capital gain reserve,Tax expenditure,Business - other,Structural,CIT,Corporate income tax,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Deferral through ten-year capital gain reserve,Tax expenditure,Business - other,Non-structural,PIT,Total – personal income tax,35,95,75,75,60,65,70,75
Deferral through ten-year capital gain reserve,Tax expenditure,Business - other,Non-structural,PIT,Farm and fishing property,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Deferral through ten-year capital gain reserve,Tax expenditure,Business - other,Non-structural,PIT,Small business shares,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Disability supports deduction,Tax expenditure,Health,Structural,PIT,Personal income tax,3,3,3,3,3,3,3,3
"Disability Tax Credit,Tax expenditure,Health,Structural,PIT,Personal income tax,""1,195"",""1,230"",""1,325"",""1,535"",""1,645"",""1,700"",""1,790"",""1,850"""
Dividend gross-up and tax credit,Tax measure other than tax expenditure,Savings and investment,Structural,TRU,Trusts,280,360,475,315,325,340,350,365
"Dividend gross-up and tax credit,Tax measure other than tax expenditure,Savings and investment,Structural,PIT/TRU,Total – personal income tax,""4,940"",""5,580"",""6,290"",""6,695"",""7,035"",""7,310"",""7,555"",""7,880"""
"Dividend gross-up and tax credit,Tax measure other than tax expenditure,Savings and investment,Structural,PIT,Personal income tax,""4,660"",""5,225"",""5,820"",""6,380"",""6,710"",""6,975"",""7,205"",""7,515"""
Earned depletion,Tax expenditure,Business - natural resources,Non-structural,PIT/CIT,Total,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
