MESURE,GROUPE,THÈME,CATÉGORIE,IMPÔT OU TAXE,DÉTAILS,2020,2021,2022,2023,2024,2025,2026,2027
Régimes de pension agréés collectifs,Dépenses fiscales,Retraite,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Régimes enregistrés d’épargne-études,Dépenses fiscales,Éducation,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,110,130,170,235,330,475,590,645
Régimes enregistrés d’épargne-invalidité,Dépenses fiscales,Santé,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,65,90,90,100,110,130,150,165
"Régimes enregistrés d’épargne-retraite,Dépenses fiscales,Retraite,Mesures non structurelles,IRP,Total–impôt sur le revenu des particuliers,""12,880"",""19,610"",""11,440"",""13,035"",""15,650"",""16,720"",""17,355"",""18,510"""
"Régimes enregistrés d’épargne-retraite,Dépenses fiscales,Retraite,Mesures non structurelles,IRP,Déduction des cotisations,""11,160"",""12,865"",""12,480"",""12,690"",""13,595"",""13,855"",""14,105"",""14,595"""
"Régimes enregistrés d’épargne-retraite,Dépenses fiscales,Retraite,Mesures non structurelles,IRP,Non-imposition du revenu de placement,""9,545"",""15,750"",""8,890"",""10,845"",""13,470"",""14,855"",""15,885"",""17,425"""
"Régimes enregistrés d’épargne-retraite,Dépenses fiscales,Retraite,Mesures non structurelles,IRP,Imposition des retraits,""-7,825"",""-9,000"",""-9,930"",""-10,495"",""-11,410"",""-11,990"",""-12,635"",""-13,510"""
"Remboursement aux écoles, aux collèges et aux universités,Dépenses fiscales,Éducation,Mesures non structurelles,TPS,Total–Taxe sur les produits et services,795,875,""1,000"",""1,110"",""1,190"",""1,185"",""1,220"",""1,260"""
Remboursement aux écoles, aux collèges et aux universités,Dépenses fiscales,Éducation,Mesures non structurelles,TPS,Remboursement aux écoles,450,505,575,635,680,680,695,720
Remboursement aux écoles, aux collèges et aux universités,Dépenses fiscales,Éducation,Mesures non structurelles,TPS,Remboursement aux collèges,95,105,125,155,165,165,170,175
Remboursement aux écoles, aux collèges et aux universités,Dépenses fiscales,Éducation,Mesures non structurelles,TPS,Remboursement aux universités,245,270,300,320,345,345,355,365
Remboursement aux employés et aux associés,Dépenses fiscales,Emploi,Mesures structurelles,TPS,Taxe sur les produits et services,40,40,40,40,45,45,55,60
"Remboursement aux hôpitaux, aux exploitants d’établissement et aux fournisseurs externes,Dépenses fiscales,Santé,Mesures non structurelles,TPS,Taxe sur les produits et services,985,975,""1,060"",""1,205"",""1,290"",""1,285"",""1,320"",""1,365"""
"Remboursement aux municipalités,Dépenses fiscales,Arrangements fiscaux intergouvernementaux,Mesures structurelles,TPS,Taxe sur les produits et services,""2,735"",""2,860"",""3,120"",""3,590"",""3,875"",""4,025"",""4,105"",""4,200"""
"Remboursement aux organismes à but non lucratif admissibles,Dépenses fiscales,""Dons de bienfaisance, autres dons, organismes de bienfaisance et organismes à but non lucratif"",Mesures non structurelles,TPS,Taxe sur les produits et services,80,90,100,110,115,120,125,130"
"Remboursement aux organismes de bienfaisance enregistrés,Dépenses fiscales,""Dons de bienfaisance, autres dons, organismes de bienfaisance et organismes à but non lucratif"",Mesures non structurelles,TPS,Taxe sur les produits et services,300,340,400,450,465,485,505,525"
"Remboursement bonifié pour immeubles d’habitation locatifs neufs,Dépenses fiscales,Logement,Mesures non structurelles,TPS,Taxe sur les produits et services,–,–,–,F,20,520,960,""1,205"""
Remboursement de la TPS pour les acheteurs d’une première habitation,Dépenses fiscales,Logement,Mesures non structurelles,TPS,Taxe sur les produits et services,–,–,–,–,–,110,590,895
"Remboursement pour coquelicots et couronnes,Dépenses fiscales,""Dons de bienfaisance, autres dons, organismes de bienfaisance et organismes à but non lucratif"",Mesures non structurelles,TPS,Taxe sur les produits et services,X,X,X,X,X,X,X,X"
Remboursement pour habitations neuves,Dépenses fiscales,Logement,Mesures non structurelles,TPS,Taxe sur les produits et services,205,175,125,85,85,75,70,70
Remboursement pour immeubles d’habitation locatifs neufs,Dépenses fiscales,Logement,Mesures non structurelles,TPS,Taxe sur les produits et services,225,250,265,270,305,360,420,345
Remboursement pour livres achetés par certains organismes,Dépenses fiscales,Éducation,Mesures non structurelles,TPS,Taxe sur les produits et services,10,10,10,10,15,15,15,15
Remboursement pour véhicules à moteur spécialement équipés,Dépenses fiscales,Santé,Mesures non structurelles,TPS,Taxe sur les produits et services,F,F,F,F,F,F,F,F
Remboursements aux gouvernements autochtones autonomes,Dépenses fiscales,Arrangements fiscaux intergouvernementaux,Mesures structurelles,TPS,Taxe sur les produits et services,10,15,20,20,20,20,20,20
Report au moyen de la réserve de cinq ans pour gains en capital,Dépenses fiscales,Entreprises - autres,Mesures structurelles,IRP,Impôt sur le revenu des particuliers–particuliers,20,35,30,30,25,25,25,25
Report au moyen de la réserve de cinq ans pour gains en capital,Dépenses fiscales,Entreprises - autres,Mesures structurelles,FID,Impôt sur le revenu des particuliers–fiducies,F,3,20,-2,F,F,F,F
Report au moyen de la réserve de cinq ans pour gains en capital,Dépenses fiscales,Entreprises - autres,Mesures structurelles,IRS,Impôt sur le revenu des sociétés,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Report au moyen de la réserve de cinq ans pour gains en capital,Dépenses fiscales,Entreprises - autres,Mesures structurelles,IRP/FID,Total–impôt sur le revenu des particuliers,20,40,50,25,25,25,25,25
Report au moyen de la réserve de cinq ans pour gains en capital,Dépenses fiscales,Entreprises - autres,Mesures structurelles,IRP/FID/IRS,Total,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Report au moyen de la réserve de dix ans pour gains en capital,Dépenses fiscales,Entreprises - autres,Mesures non structurelles,IRP,Total–impôt sur le revenu des particuliers,35,95,75,75,60,65,70,75
Report au moyen de la réserve de dix ans pour gains en capital,Dépenses fiscales,Entreprises - autres,Mesures non structurelles,IRP,Biens agricoles et de pêche,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Report au moyen de la réserve de dix ans pour gains en capital,Dépenses fiscales,Entreprises - autres,Mesures non structurelles,IRP,Actions de petites entreprises,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Report de pertes autres qu’en capital,Mesures fiscales ne constituant pas des dépenses fiscales,Entreprises - autres,Mesures structurelles,IRP,Pertes agricoles et de pêche autres qu’en capital–impôt sur le revenu des particuliers–particuliers–total,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Report de pertes autres qu’en capital,Mesures fiscales ne constituant pas des dépenses fiscales,Entreprises - autres,Mesures structurelles,IRP,Pertes agricoles et de pêche autres qu’en capital–impôt sur le revenu des particuliers–particuliers–report rétrospectif,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Report de pertes autres qu’en capital,Mesures fiscales ne constituant pas des dépenses fiscales,Entreprises - autres,Mesures structurelles,IRP,Pertes agricoles et de pêche autres qu’en capital–impôt sur le revenu des particuliers–particuliers–appliquées à l’année en cours,20,25,30,30,30,35,35,35
Report de pertes autres qu’en capital,Mesures fiscales ne constituant pas des dépenses fiscales,Entreprises - autres,Mesures structurelles,IRP,Pertes autres qu’en capital dans les autres secteurs–impôt sur le revenu des particuliers–particuliers–total,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Report de pertes autres qu’en capital,Mesures fiscales ne constituant pas des dépenses fiscales,Entreprises - autres,Mesures structurelles,IRP,Pertes autres qu’en capital dans les autres secteurs–impôt sur le revenu des particuliers–particuliers–report rétrospectif,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Report de pertes autres qu’en capital,Mesures fiscales ne constituant pas des dépenses fiscales,Entreprises - autres,Mesures structurelles,IRP,Pertes autres qu’en capital dans les autres secteurs–impôt sur le revenu des particuliers–particuliers–appliquées à l’année en cours,90,90,90,110,115,120,125,135
Report de pertes autres qu’en capital,Mesures fiscales ne constituant pas des dépenses fiscales,Entreprises - autres,Mesures structurelles,IRP,Total pertes autres qu'en capital–impôt sur le revenu des particuliers–particuliers–total,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Report de pertes autres qu’en capital,Mesures fiscales ne constituant pas des dépenses fiscales,Entreprises - autres,Mesures structurelles,IRP,Total pertes autres qu'en capital–impôt sur le revenu des particuliers–particuliers–report rétrospectif,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Report de pertes autres qu’en capital,Mesures fiscales ne constituant pas des dépenses fiscales,Entreprises - autres,Mesures structurelles,IRP,Total pertes autres qu'en capital–impôt sur le revenu des particuliers–particuliers–appliquées à l’année en cours,110,115,120,140,150,155,160,170
Report de pertes autres qu’en capital,Mesures fiscales ne constituant pas des dépenses fiscales,Entreprises - autres,Mesures structurelles,FID,Pertes agricoles et de pêche autres qu’en capital–impôt sur le revenu des particuliers–fiducies,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Report de pertes autres qu’en capital,Mesures fiscales ne constituant pas des dépenses fiscales,Entreprises - autres,Mesures structurelles,FID,Pertes autres qu’en capital dans les autres secteurs–impôt sur le revenu des particuliers–fiducies,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Report de pertes autres qu’en capital,Mesures fiscales ne constituant pas des dépenses fiscales,Entreprises - autres,Mesures structurelles,FID,Total pertes autres qu'en capital–impôt sur le revenu des particuliers–fiducies,180,220,355,340,380,345,345,360
Report de pertes autres qu’en capital,Mesures fiscales ne constituant pas des dépenses fiscales,Entreprises - autres,Mesures structurelles,IRS,Pertes agricoles et de pêche autres qu’en capital–Total–Impôt sur le revenu des sociétés,85,110,125,130,150,160,165,170
Report de pertes autres qu’en capital,Mesures fiscales ne constituant pas des dépenses fiscales,Entreprises - autres,Mesures structurelles,IRS,Pertes agricoles et de pêche autres qu’en capital–Impôt sur le revenu des sociétés–Report rétrospectif,30,20,35,35,30,35,35,35
Report de pertes autres qu’en capital,Mesures fiscales ne constituant pas des dépenses fiscales,Entreprises - autres,Mesures structurelles,IRS,Pertes agricoles et de pêche autres qu’en capital–Impôt sur le revenu des sociétés–Appliquées à l’année en cours,55,90,90,95,125,130,130,140
"Report de pertes autres qu’en capital,Mesures fiscales ne constituant pas des dépenses fiscales,Entreprises - autres,Mesures structurelles,IRS,Pertes autres qu’en capital dans les autres secteurs–total–impôt sur le revenu des sociétés,""8,820"",""11,395"",""14,620"",""12,470"",""13,100"",""12,540"",""12,635"",""12,975"""
"Report de pertes autres qu’en capital,Mesures fiscales ne constituant pas des dépenses fiscales,Entreprises - autres,Mesures structurelles,IRS,Pertes autres qu’en capital dans les autres secteurs–impôt sur le revenu des sociétés–report rétrospectif,""3,205"",""1,905"",""2,915"",""2,930"",""2,455"",""2,885"",""2,895"",""2,840"""
"Report de pertes autres qu’en capital,Mesures fiscales ne constituant pas des dépenses fiscales,Entreprises - autres,Mesures structurelles,IRS,Pertes autres qu’en capital dans les autres secteurs–impôt sur le revenu des sociétés–appliquées à l’année en cours,""5,615"",""9,490"",""11,710"",""9,540"",""10,645"",""9,660"",""9,740"",""10,135"""
"Report de pertes autres qu’en capital,Mesures fiscales ne constituant pas des dépenses fiscales,Entreprises - autres,Mesures structurelles,IRS,Total pertes autres qu'en capital–Total–impôt sur le revenu des sociétés,""8,900"",""11,500"",""14,745"",""12,595"",""13,250"",""12,705"",""12,800"",""13,150"""
"Report de pertes autres qu’en capital,Mesures fiscales ne constituant pas des dépenses fiscales,Entreprises - autres,Mesures structurelles,IRS,Total pertes autres qu'en capital–Impôt sur le revenu des sociétés–Report rétrospectif,""3,230"",""1,925"",""2,950"",""2,965"",""2,485"",""2,915"",""2,925"",""2,875"""
"Report de pertes autres qu’en capital,Mesures fiscales ne constituant pas des dépenses fiscales,Entreprises - autres,Mesures structurelles,IRS,Total pertes autres qu'en capital–Impôt sur le revenu des sociétés–Appliquées à l’année en cours,""5,670"",""9,575"",""11,800"",""9,635"",""10,765"",""9,785"",""9,870"",""10,275"""
Report de pertes autres qu’en capital,Mesures fiscales ne constituant pas des dépenses fiscales,Entreprises - autres,Mesures structurelles,IRP/FID,Pertes agricoles et de pêche autres qu’en capital–total–impôt sur le revenu des particuliers,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Report de pertes autres qu’en capital,Mesures fiscales ne constituant pas des dépenses fiscales,Entreprises - autres,Mesures structurelles,IRP/FID,Pertes autres qu’en capital dans les autres secteurs–total–impôt sur le revenu des particuliers,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Report de pertes autres qu’en capital,Mesures fiscales ne constituant pas des dépenses fiscales,Entreprises - autres,Mesures structurelles,IRP/FID,Total pertes autres qu'en capital–total–impôt sur le revenu des particuliers,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Report de pertes autres qu’en capital,Mesures fiscales ne constituant pas des dépenses fiscales,Entreprises - autres,Mesures structurelles,IRP/FID/IRS,Pertes agricoles et de pêche autres qu’en capital–total,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Report de pertes autres qu’en capital,Mesures fiscales ne constituant pas des dépenses fiscales,Entreprises - autres,Mesures structurelles,IRP/FID/IRS,Pertes autres qu’en capital dans les autres secteurs–total,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Report de pertes autres qu’en capital,Mesures fiscales ne constituant pas des dépenses fiscales,Entreprises - autres,Mesures structurelles,IRP/FID/IRS,Total pertes autres qu'en capital–total,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Report de pertes en capital,Mesures fiscales ne constituant pas des dépenses fiscales,Épargne et investissement,Mesures structurelles,IRP,Impôt sur le revenu des particuliers–particuliers–total,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Report de pertes en capital,Mesures fiscales ne constituant pas des dépenses fiscales,Épargne et investissement,Mesures structurelles,IRP,Impôt sur le revenu des particuliers–particuliers–report rétrospectif,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Report de pertes en capital,Mesures fiscales ne constituant pas des dépenses fiscales,Épargne et investissement,Mesures structurelles,IRP,Impôt sur le revenu des particuliers–particuliers–appliquées à l’année en cours,550,940,505,535,780,565,600,645
"Report de pertes en capital,Mesures fiscales ne constituant pas des dépenses fiscales,Épargne et investissement,Mesures structurelles,FID,Impôt sur le revenu des particuliers–fiducies,800,""2,010"",430,855,995,""1,020"",""1,060"",""1,110"""
"Report de pertes en capital,Mesures fiscales ne constituant pas des dépenses fiscales,Épargne et investissement,Mesures structurelles,IRS,Total–impôt sur le revenu des sociétés,""1,015"",855,985,800,""1,390"",965,""1,035"",""1,115"""
Report de pertes en capital,Mesures fiscales ne constituant pas des dépenses fiscales,Épargne et investissement,Mesures structurelles,IRS,Impôt sur le revenu des sociétés–report rétrospectif,405,200,455,355,400,445,445,455
Report de pertes en capital,Mesures fiscales ne constituant pas des dépenses fiscales,Épargne et investissement,Mesures structurelles,IRS,Impôt sur le revenu des sociétés–appliquées à l’année en cours,615,650,525,445,990,525,590,660
Report de pertes en capital,Mesures fiscales ne constituant pas des dépenses fiscales,Épargne et investissement,Mesures structurelles,IRP/FID,Total–impôt sur le revenu des particuliers,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Report de pertes en capital,Mesures fiscales ne constituant pas des dépenses fiscales,Épargne et investissement,Mesures structurelles,IRP/FID/IRS,Total,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Report du revenu lié à l’abattage de bétail,Dépenses fiscales,Entreprises - agriculture et pêche,Mesures structurelles,IRP,Impôt sur le revenu des particuliers,F,F,3,3,-2,n.d.,n.d.,n.d.
Report du revenu lié à l’abattage de bétail,Dépenses fiscales,Entreprises - agriculture et pêche,Mesures structurelles,IRS,Impôt sur le revenu des sociétés,F,F,4,4,-4,n.d.,n.d.,n.d.
Report du revenu lié à l’abattage de bétail,Dépenses fiscales,Entreprises - agriculture et pêche,Mesures structurelles,IRP/IRS,Total,F,F,5,5,-5,n.d.,n.d.,n.d.
Report du revenu tiré des ventes de grain au moyen de bons de paiement,Dépenses fiscales,Entreprises - agriculture et pêche,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,15,3,60,25,-5,n.d.,n.d.,n.d.
Report du revenu tiré des ventes de grain au moyen de bons de paiement,Dépenses fiscales,Entreprises - agriculture et pêche,Mesures non structurelles,IRS,Impôt sur le revenu des sociétés,25,4,80,35,-10,n.d.,n.d.,n.d.
Report du revenu tiré des ventes de grain au moyen de bons de paiement,Dépenses fiscales,Entreprises - agriculture et pêche,Mesures non structurelles,IRP/IRS,Total,40,5,140,60,-15,n.d.,n.d.,n.d.
Report par roulement de placements dans de petites entreprises,Dépenses fiscales,Entreprises - petites entreprises,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,10,15,10,15,5,15,15,15
Retenues sur les paiements échelonnés aux entrepreneurs,Dépenses fiscales,Entreprises - autres,Mesures structurelles,IRP,Impôt sur le revenu des particuliers,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Retenues sur les paiements échelonnés aux entrepreneurs,Dépenses fiscales,Entreprises - autres,Mesures structurelles,IRS,Impôt sur le revenu des sociétés,65,100,140,175,165,170,175,180
Retenues sur les paiements échelonnés aux entrepreneurs,Dépenses fiscales,Entreprises - autres,Mesures structurelles,IRP/IRS,Total,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Ristournes émises sous forme de parts par des coopératives agricoles,Dépenses fiscales,Entreprises - agriculture et pêche,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,F,-1,-1,F,F,1,1,1
Ristournes émises sous forme de parts par des coopératives agricoles,Dépenses fiscales,Entreprises - agriculture et pêche,Mesures non structurelles,IRS,Impôt sur le revenu des sociétés,F,-1,-2,F,F,2,2,2
Ristournes émises sous forme de parts par des coopératives agricoles,Dépenses fiscales,Entreprises - agriculture et pêche,Mesures non structurelles,IRP/IRS,Total,1,-2,-3,F,F,2,3,3
Seuil de petit fournisseur,Dépenses fiscales,Entreprises - petites entreprises,Mesures structurelles,TPS,Total,180,205,260,255,260,265,270,275
Statut fiscal de certaines sociétés d’État fédérales,Dépenses fiscales,Entreprises - autres,Mesures structurelles,IRS,Impôt sur le revenu des sociétés,X,X,X,X,X,X,X,X
"Subvention d'urgence du Canada pour le loyer et Mesure de soutien en cas de confinement,Crédits d'impôt remboursables classés comme des paiements de transfert,Entreprises - autres,S/O,IRP/IRS,Impôt sur le revenu des particuliers et impôt sur le revenu des sociétés,""2,050"",""5,450"",–,–,–,–,–,–"
"Subvention salariale d'urgence du Canada,Crédits d'impôt remboursables classés comme des paiements de transfert,Emploi,S/O,IRP/IRS,Impôt sur le revenu des particuliers et impôt sur le revenu des sociétés,""70,320"",""29,450"",–,–,–,–,–,–"
"Subvention salariale temporaire de 10 % pour les employeurs,Crédits d'impôt remboursables classés comme des paiements de transfert,Emploi,S/O,IRP/IRS,Impôt sur le revenu des particuliers et impôt sur le revenu des sociétés,""1,770"",–,–,–,–,–,–,–"
Supplément remboursable pour frais médicaux,Crédits d'impôt remboursables classés comme des paiements de transfert,Santé,S/O,IRP,Impôt sur le revenu des particuliers,120,150,185,215,230,240,245,245
"Taux d’imposition préférentiel pour les petites entreprises,Dépenses fiscales,Entreprises - petites entreprises,Mesures non structurelles,IRS,Impôt sur le revenu des sociétés,""5,345"",""6,410"",""6,620"",""6,735"",""6,805"",""6,160"",""6,210"",""6,470"""
Traitement fiscal des comptes d’épargne agricole (Agri?investissement et Agri?Québec),Dépenses fiscales,Entreprises - agriculture et pêche,Mesures non structurelles,IRP,Total–impôt sur le revenu des particuliers,3,10,5,10,2,n.d.,n.d.,n.d.
Traitement fiscal des comptes d’épargne agricole (Agri?investissement et Agri?Québec),Dépenses fiscales,Entreprises - agriculture et pêche,Mesures non structurelles,IRP,Programme Agri?investissement–impôt sur le revenu des particuliers,1,10,5,10,3,n.d.,n.d.,n.d.
Traitement fiscal des comptes d’épargne agricole (Agri?investissement et Agri?Québec),Dépenses fiscales,Entreprises - agriculture et pêche,Mesures non structurelles,IRP,Programme Agri-Québec –impôt sur le revenu des particuliers,2,2,F,F,F,n.d.,n.d.,n.d.
Traitement fiscal des comptes d’épargne agricole (Agri?investissement et Agri?Québec),Dépenses fiscales,Entreprises - agriculture et pêche,Mesures non structurelles,IRS,Total–impôt sur le revenu des sociétés,1,2,1,1,1,n.d.,n.d.,n.d.
Traitement fiscal des comptes d’épargne agricole (Agri?investissement et Agri?Québec),Dépenses fiscales,Entreprises - agriculture et pêche,Mesures non structurelles,IRS,Programme Agri?investissement–impôt sur le revenu des sociétés,F,1,1,1,1,n.d.,n.d.,n.d.
Traitement fiscal des comptes d’épargne agricole (Agri?investissement et Agri?Québec),Dépenses fiscales,Entreprises - agriculture et pêche,Mesures non structurelles,IRS,Programme Agri-Québec –impôt sur le revenu des sociétés,1,1,F,F,F,n.d.,n.d.,n.d.
Traitement fiscal des comptes d’épargne agricole (Agri?investissement et Agri?Québec),Dépenses fiscales,Entreprises - agriculture et pêche,Mesures non structurelles,IRP/IRS,Total,4,10,5,10,4,n.d.,n.d.,n.d.
Traitement fiscal des comptes d’épargne agricole (Agri?investissement et Agri?Québec),Dépenses fiscales,Entreprises - agriculture et pêche,Mesures non structurelles,IRP/IRS,Total–Programme Agri?investissement,1,10,5,10,4,n.d.,n.d.,n.d.
Traitement fiscal des comptes d’épargne agricole (Agri?investissement et Agri?Québec),Dépenses fiscales,Entreprises - agriculture et pêche,Mesures non structurelles,IRP/IRS,Total–Programme Agri-Québec,3,3,F,F,F,n.d.,n.d.,n.d.
"Traitement fiscal des cotisations et des prestations liées à l’assurance-emploi et au Régime québécois d’assurance parentale ,Mesures fiscales ne constituant pas des dépenses fiscales,Emploi,Mesures structurelles,IRP,Total–impôt sur le revenu des particuliers,""4,180"",""4,620"",""5,075"",""5,580"",""6,010"",""6,070"",""6,110"",""6,340"""
"Traitement fiscal des cotisations et des prestations liées à l’assurance-emploi et au Régime québécois d’assurance parentale ,Mesures fiscales ne constituant pas des dépenses fiscales,Emploi,Mesures structurelles,IRP,Crédit pour cotisations d’employé,""1,345"",""1,445"",""1,595"",""1,765"",""1,905"",""1,885"",""1,855"",""1,920"""
"Traitement fiscal des cotisations et des prestations liées à l’assurance-emploi et au Régime québécois d’assurance parentale ,Mesures fiscales ne constituant pas des dépenses fiscales,Emploi,Mesures structurelles,IRP,Non-imposition des cotisations d’employeur,""2,835"",""3,175"",""3,480"",""3,815"",""4,105"",""4,185"",""4,255"",""4,420"""
"Traitement fiscal des cotisations et des prestations liées au Régime de pensions du Canada et au Régime de rentes du Québec,Mesures fiscales ne constituant pas des dépenses fiscales,Emploi,Mesures structurelles,IRP,Total–impôt sur le revenu des particuliers,""11,845"",""13,860"",""15,725"",""17,615"",""19,235"",""20,260"",""20,710"",""21,530"""
"Traitement fiscal des cotisations et des prestations liées au Régime de pensions du Canada et au Régime de rentes du Québec,Mesures fiscales ne constituant pas des dépenses fiscales,Emploi,Mesures structurelles,IRP,Reconnaissance fiscale des cotisations d’employé,""4,765"",""5,525"",""6,370"",""7,245"",""7,975"",""8,350"",""8,420"",""8,745"""
"Traitement fiscal des cotisations et des prestations liées au Régime de pensions du Canada et au Régime de rentes du Québec,Mesures fiscales ne constituant pas des dépenses fiscales,Emploi,Mesures structurelles,IRP,Non-imposition des cotisations d’employeur,""7,080"",""8,335"",""9,355"",""10,370"",""11,260"",""11,910"",""12,290"",""12,785"""
Traitement fiscal des pensions alimentaires et allocations d’entretien,Dépenses fiscales,Familles et ménages,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,100,105,105,105,105,110,115,115
Traitement fiscal du revenu de placement provenant de polices d’assurance-vie,Dépenses fiscales,Épargne et investissement,Mesures structurelles,IRP,Impôt sur le revenu des particuliers,235,230,245,270,320,330,365,405
"Transfert de points d’impôt aux provinces,Mesures fiscales ne constituant pas des dépenses fiscales,Arrangements fiscaux intergouvernementaux,Mesures structurelles,IRP,Impôt sur le revenu des particuliers–particuliers,""26,130"",""29,155"",""30,780"",""32,355"",""35,295"",""36,025"",""37,315"",""39,235"""
"Transfert de points d’impôt aux provinces,Mesures fiscales ne constituant pas des dépenses fiscales,Arrangements fiscaux intergouvernementaux,Mesures structurelles,FID,Impôt sur le revenu des particuliers–fiducies,""1,050"",""1,470"",845,""1,115"",""1,300"",""1,360"",""1,395"",""1,365"""
"Transfert de points d’impôt aux provinces,Mesures fiscales ne constituant pas des dépenses fiscales,Arrangements fiscaux intergouvernementaux,Mesures structurelles,IRS,Impôt sur le revenu des sociétés,""3,680"",""5,250"",""5,380"",""5,640"",""6,045"",""6,050"",""6,265"",""6,520"""
"Transfert de points d’impôt aux provinces,Mesures fiscales ne constituant pas des dépenses fiscales,Arrangements fiscaux intergouvernementaux,Mesures structurelles,IRP/FID,Total–impôt sur le revenu des particuliers,""27,180"",""30,625"",""31,625"",""33,470"",""36,595"",""37,385"",""38,710"",""40,595"""
"Transfert de points d’impôt aux provinces,Mesures fiscales ne constituant pas des dépenses fiscales,Arrangements fiscaux intergouvernementaux,Mesures structurelles,IRP/FID/IRS,Total,""30,860"",""35,875"",""37,005"",""39,105"",""42,645"",""43,440"",""44,975"",""47,115"""
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
