MESURE,GROUPE,THÈME,CATÉGORIE,IMPÔT OU TAXE,DÉTAILS,2020,2021,2022,2023,2024,2025,2026,2027
"Crédit d’impôt pour don de bienfaisance,Dépenses fiscales,""Dons de bienfaisance, autres dons, organismes de bienfaisance et organismes à but non lucratif"",Mesures non structurelles,IRP,Autres,""2,915"",""3,140"",""3,310"",""3,405"",""3,465"",""3,610"",""3,800"",""3,870"""
"Crédit d’impôt pour don de bienfaisance,Dépenses fiscales,""Dons de bienfaisance, autres dons, organismes de bienfaisance et organismes à but non lucratif"",Mesures non structurelles,FID,Impôt sur le revenu des particuliers–fiducies,70,65,45,60,55,60,60,60"
"Crédit d’impôt pour don de bienfaisance,Dépenses fiscales,""Dons de bienfaisance, autres dons, organismes de bienfaisance et organismes à but non lucratif"",Mesures non structurelles,IRP/FID,Total–impôt sur le revenu des particuliers,""3,360"",""3,680"",""3,735"",""4,065"",""4,150"",""3,995"",""4,225"",""4,345"""
Crédit d’impôt pour études,Dépenses fiscales,Éducation,Mesures structurelles,IRP,Impôt sur le revenu des particuliers,190,115,45,F,F,F,F,F
Crédit d’impôt pour fournitures scolaires des enseignants et éducateurs de la petite enfance,Crédits d'impôt remboursables classés comme des paiements de transfert,Éducation,S/O,IRP,Impôt sur le revenu des particuliers,5,10,10,15,15,15,15,15
Crédit d’impôt pour frais d’adoption,Dépenses fiscales,Familles et ménages,Mesures structurelles,IRP,Impôt sur le revenu des particuliers,1,2,2,2,2,2,2,2
"Crédit d’impôt pour frais de scolarité,Dépenses fiscales,Éducation,Mesures structurelles,IRP,Impôt sur le revenu des particuliers,""2,100"",""2,065"",""2,030"",""2,360"",""2,360"",""2,385"",""2,410"",""2,435"""
"Crédit d’impôt pour frais médicaux,Dépenses fiscales,Santé,Mesures structurelles,IRP,Impôt sur le revenu des particuliers,""1,530"",""1,805"",""1,925"",""2,200"",""2,220"",""2,290"",""2,370"",""2,540"""
Crédit d’impôt pour intérêts sur les prêts aux étudiants,Dépenses fiscales,Éducation,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,25,20,15,25,25,25,25,25
Crédit d’impôt pour l’accessibilité domiciliaire ,Dépenses fiscales,Santé,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,15,25,40,30,30,30,25,25
Crédit d’impôt pour l’achat d’une première habitation,Dépenses fiscales,Logement,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,130,150,245,220,235,230,240,250
Crédit d’impôt pour l’amélioration de la qualité de l’air dans les petites entreprises,Crédits d'impôt remboursables classés comme des paiements de transfert,Santé,S/O,IRP,Impôt sur le revenu des particuliers,–,–,2,5,–,–,–,–
Crédit d’impôt pour l’amélioration de la qualité de l’air dans les petites entreprises,Crédits d'impôt remboursables classés comme des paiements de transfert,Santé,S/O,IRS,Impôt sur le revenu des sociétés,–,–,1,F,–,–,–,–
Crédit d’impôt pour l’amélioration de la qualité de l’air dans les petites entreprises,Crédits d'impôt remboursables classés comme des paiements de transfert,Santé,S/O,IRP/IRS,Total,–,–,3,5,–,–,–,–
Crédit d’impôt pour l’exploration de minéraux critiques pour les détenteurs d’actions accréditives,Dépenses fiscales,Entreprises - ressources naturelles,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,–,–,70,220,120,130,135,-30
Crédit d’impôt pour l’exploration minière pour les détenteurs d’actions accréditives,Dépenses fiscales,Entreprises - ressources naturelles,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,100,145,60,35,40,50,45,-10
Crédit d’impôt pour la création d’emplois d’apprentis,Dépenses fiscales,Emploi,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers–particuliers,1,1,1,1,1,1,1,1
Crédit d’impôt pour la création d’emplois d’apprentis,Dépenses fiscales,Emploi,Mesures non structurelles,IRS,Total–impôt sur le revenu des sociétés,95,95,90,110,115,115,120,125
Crédit d’impôt pour la création d’emplois d’apprentis,Dépenses fiscales,Emploi,Mesures non structurelles,IRS,Impôt sur le revenu des sociétés–Acquis et demandé dans l’année en cours,60,55,65,75,80,80,85,85
Crédit d’impôt pour la création d’emplois d’apprentis,Dépenses fiscales,Emploi,Mesures non structurelles,IRS,Impôt sur le revenu des sociétés–Demandé pour l’année en cours mais acquis antérieurement,30,35,20,25,30,30,30,35
Crédit d’impôt pour la création d’emplois d’apprentis,Dépenses fiscales,Emploi,Mesures non structurelles,IRS,Impôt sur le revenu des sociétés–Acquis dans l’année en cours mais reporté à des années antérieures,2,2,4,3,3,3,3,3
